"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","Arduino_Nano_Every","","","","Module:Arduino_Nano","https://content.arduino.cc/assets/NANOEveryV3.0_sch.pdf"
"C1","1","470uF","","","","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"C2","1","100nF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"D1","1","LED","","","","LED_THT:LED_D5.0mm","~"
"J1,J4","2","Conn_01x04_Pin","","","","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
"J3","1","Conn_01x03_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J5","1","Barrel_Jack","","","","Connector_BarrelJack:BarrelJack_SwitchcraftConxall_RAPC10U_Horizontal","~"
"R1","1","220R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"SW1,SW2","2","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"U1,U2","2","ULN2003","","","","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/uln2003a.pdf"
